"","x"
"1",4933
"2",1552
"3",8902
"4",6245
"5",388
"6",5725
"7",5111
"8",1553
"9",3483
"10",8620
"11",7232
"12",3829
"13",3589
"14",2134
"15",6662
"16",2054
"17",2608
"18",3527
"19",4407
"20",9874
"21",2392
"22",2605
"23",3204
"24",2957
"25",6087
"26",6600
"27",2777
"28",5542
"29",6520
"30",2046
"31",7267
"32",4704
"33",6237
"34",9412
"35",2835
"36",4690
"37",6089
"38",6544
"39",8142
"40",8805
"41",2396
"42",9801
"43",5384
"44",5002
"45",5304
"46",6088
"47",4616
"48",9139
"49",8437
"50",7013
"51",1081
"52",2746
"53",4561
"54",9126
"55",8392
"56",3964
"57",1640
"58",5211
"59",2518
"60",9362
"61",6053
"62",8344
"63",7693
"64",9194
"65",6469
"66",1872
"67",1704
"68",9637
"69",7075
"70",8653
"71",9703
"72",5749
"73",6060
"74",1676
"75",1036
"76",8200
"77",9927
"78",8657
"79",8803
"80",2962
"81",9384
"82",8696
"83",3719
"84",4506
"85",3599
"86",4101
"87",1096
"88",4355
"89",5976
"90",8661
"91",1605
"92",5075
"93",3505
"94",5422
"95",9636
"96",7336
"97",8289
"98",1524
"99",9368
"100",3211
"101",5765
"102",3752
"103",665
"104",9648
"105",2428
"106",7162
"107",4502
"108",8781
"109",1779
"110",4268
"111",4350
"112",1389
"113",7562
"114",4028
"115",9823
"116",3864
"117",2083
"118",6820
"119",2450
"120",7653
"121",9929
"122",6309
"123",2891
"124",8568
"125",2106
"126",7338
"127",1342
"128",7926
"129",6397
"130",7321
"131",4797
"132",6808
"133",2137
"134",724
"135",7967
"136",7933
"137",3490
"138",9340
"139",1513
"140",2577
"141",7592
"142",2246
"143",5379
"144",702
"145",4944
"146",6374
"147",8169
"148",4329
"149",5829
"150",3904
"151",30
"152",6369
"153",1663
"154",829
"155",4327
"156",3097
"157",1121
"158",5991
"159",4623
"160",877
"161",9992
"162",7395
"163",7444
"164",5503
"165",539
"166",5206
"167",3040
"168",3816
"169",8366
"170",5923
"171",3562
"172",2865
"173",9104
"174",7783
"175",6650
"176",4070
"177",2798
"178",2114
"179",7856
"180",6430
"181",5142
"182",7191
"183",2925
"184",4734
"185",2048
"186",7809
"187",1317
"188",2529
"189",2515
"190",2390
"191",3090
"192",5201
"193",705
"194",677
"195",2876
"196",6130
"197",1473
"198",6169
"199",2695
"200",1483
"201",3063
"202",2264
"203",5423
"204",5041
"205",8715
"206",174
"207",405
"208",3533
"209",1635
"210",6345
"211",1989
"212",8718
"213",8485
"214",5832
"215",8175
"216",6911
"217",8764
"218",6047
"219",5045
"220",9745
"221",5380
"222",6446
"223",1490
"224",8463
"225",3657
"226",7169
"227",7729
"228",7762
"229",6630
"230",2987
"231",7298
"232",642
"233",1859
"234",5025
"235",5040
"236",7677
"237",8708
"238",2840
"239",5885
"240",5326
"241",9606
"242",6757
"243",1580
"244",5077
"245",5987
"246",1494
"247",9793
"248",7255
"249",9924
"250",8521
"251",1995
"252",2087
"253",3231
"254",2117
"255",5792
"256",6080
"257",2394
"258",9494
"259",9527
"260",5187
"261",124
"262",8756
"263",5185
"264",3651
"265",5331
"266",4208
"267",6505
"268",7356
"269",2600
"270",1114
"271",1226
"272",6682
"273",3402
"274",9770
"275",4450
"276",9487
"277",7800
"278",8560
"279",9978
"280",3340
"281",25
"282",4977
"283",6881
"284",752
"285",24
"286",6660
"287",9452
"288",6501
"289",35
"290",5468
"291",1646
"292",3626
"293",208
"294",1400
"295",3425
"296",626
"297",7030
"298",7383
"299",3196
"300",4652
"301",1409
"302",3650
"303",7617
"304",4793
"305",5561
"306",2893
"307",401
"308",4180
"309",8703
"310",3946
"311",5642
"312",1827
"313",4868
"314",4852
"315",5974
"316",3840
"317",477
"318",7952
"319",2301
"320",9566
"321",1792
"322",8927
"323",7211
"324",312
"325",1170
"326",9517
"327",5912
"328",7655
"329",8149
"330",9029
"331",1921
"332",7372
"333",5017
"334",3738
"335",4998
"336",7802
"337",4934
"338",6743
"339",8625
"340",4332
"341",8019
"342",944
"343",9501
"344",3684
"345",2231
"346",5744
"347",4276
"348",2508
"349",8021
"350",651
"351",4491
"352",6114
"353",4248
"354",3258
"355",4209
"356",3390
"357",9849
"358",4244
"359",6500
"360",2203
"361",9736
"362",8085
"363",2270
"364",3834
"365",4082
"366",7137
"367",8613
"368",9079
"369",3243
"370",7484
"371",6658
"372",1970
"373",9684
"374",3226
"375",6384
"376",9102
"377",2874
"378",8066
"379",7990
"380",7795
"381",2711
"382",569
"383",5385
"384",9054
"385",2351
"386",9120
"387",7827
"388",6769
"389",5456
"390",2991
"391",1809
"392",1876
"393",6570
"394",3640
"395",2496
"396",5938
"397",782
"398",8046
"399",9107
"400",9350
"401",9884
"402",6937
"403",5990
"404",2158
"405",93
"406",3843
"407",2947
"408",9407
"409",3664
"410",6136
"411",8651
"412",721
"413",4289
"414",9905
"415",4740
"416",2686
"417",898
"418",6204
"419",8594
"420",2066
"421",7505
"422",349
"423",6318
"424",8929
"425",5836
"426",8702
"427",3836
"428",2001
"429",7021
"430",7948
"431",5818
"432",6744
"433",6745
"434",9427
"435",8881
"436",8481
"437",8155
"438",5100
"439",8009
"440",1043
"441",5096
"442",8524
"443",313
"444",6149
"445",6903
"446",5457
"447",856
"448",8879
"449",7315
"450",7574
"451",7399
"452",8431
"453",2415
"454",2383
"455",1868
"456",3318
"457",5742
"458",4825
"459",9986
"460",3653
"461",1250
"462",1014
"463",6867
"464",9791
"465",8001
"466",413
"467",9180
"468",1386
"469",5929
"470",1067
"471",2796
"472",407
"473",4461
"474",2953
"475",5052
"476",1132
"477",3032
"478",4542
"479",9123
"480",8654
"481",1603
"482",7965
"483",8859
"484",2842
"485",463
"486",3400
"487",7785
"488",6826
"489",6765
"490",4646
"491",8225
"492",8721
"493",3023
"494",7858
"495",5419
"496",7150
"497",225
"498",2091
"499",2596
"500",4087
"501",5868
"502",249
"503",6491
"504",4382
"505",9149
"506",8829
"507",2585
"508",7290
"509",5690
"510",3265
"511",207
"512",6998
"513",2861
"514",4354
"515",7529
"516",1568
"517",5242
"518",2125
"519",1955
"520",2912
"521",2156
"522",9554
"523",5286
"524",9148
"525",1016
"526",7146
"527",8706
"528",6235
"529",3477
"530",7902
"531",4313
"532",5729
"533",6021
"534",1831
"535",960
"536",4249
"537",6989
"538",8819
"539",6561
"540",1235
"541",7712
"542",950
"543",7186
"544",9272
"545",969
"546",8776
"547",5376
"548",2837
"549",6078
"550",8857
"551",2077
"552",4940
"553",789
"554",4310
"555",8291
"556",3632
"557",3180
"558",9304
"559",8113
"560",2094
"561",7427
"562",9966
"563",9498
"564",8438
"565",6738
"566",7772
"567",2636
"568",5270
"569",7238
"570",4437
"571",5996
"572",2511
"573",3909
"574",1433
"575",8611
"576",5992
"577",2972
"578",7575
"579",5048
"580",5424
"581",1715
"582",5421
"583",5599
"584",2757
"585",9002
"586",2594
"587",4076
"588",7678
"589",7675
"590",2984
"591",9844
"592",9890
"593",3397
"594",1588
"595",9735
"596",9075
"597",4531
"598",4905
"599",1465
"600",2755
"601",4473
"602",9378
"603",7475
"604",4388
"605",3294
"606",9790
"607",2881
"608",8520
"609",7563
"610",6406
"611",6006
"612",9005
"613",4402
"614",3424
"615",8963
"616",2068
"617",1406
"618",5338
"619",3732
"620",468
"621",8995
"622",9822
"623",8941
"624",9150
"625",4976
"626",9592
"627",1769
"628",8787
"629",2705
"630",5116
"631",3195
"632",2846
"633",6474
"634",6433
"635",2942
"636",9875
"637",7344
"638",6846
"639",7443
"640",8224
"641",662
"642",6559
"643",4227
"644",1376
"645",8547
"646",4044
"647",505
"648",8080
"649",9616
"650",6046
"651",3622
"652",4674
"653",1851
"654",4918
"655",3962
"656",7143
"657",9671
"658",1439
"659",7035
"660",3073
"661",2304
"662",7160
"663",836
"664",7032
"665",9928
"666",437
"667",7171
"668",5241
"669",1255
"670",8814
"671",7994
"672",2291
"673",8493
"674",9652
"675",42
"676",3421
"677",6985
"678",5493
"679",9363
"680",76
"681",7189
"682",2326
"683",681
"684",3282
"685",1794
"686",4023
"687",989
"688",8474
"689",8417
"690",4072
"691",3900
"692",7717
"693",1125
"694",443
"695",6231
"696",5224
"697",2422
"698",2489
"699",3019
"700",9100
"701",7938
"702",7884
"703",2731
"704",3789
"705",1873
"706",7163
"707",2646
"708",4738
"709",7789
"710",3116
"711",6741
"712",133
"713",7275
"714",3407
"715",4187
"716",3207
"717",6531
"718",5105
"719",9446
"720",1761
"721",3726
"722",7775
"723",9298
"724",398
"725",5993
"726",9996
"727",5921
"728",4454
"729",8955
"730",3830
"731",6595
"732",2404
"733",3269
"734",1746
"735",5154
"736",5663
"737",1068
"738",2216
"739",6102
"740",8327
"741",4794
"742",7651
"743",1741
"744",3681
"745",8897
"746",8027
"747",1825
"748",2832
"749",1098
"750",4906
"751",1213
"752",5656
"753",6252
"754",6033
"755",9398
"756",8832
"757",2384
"758",5682
"759",9436
"760",5418
"761",3361
"762",7434
"763",9007
"764",1530
"765",5555
"766",2775
"767",2022
"768",2010
"769",107
"770",6292
"771",4586
"772",2772
"773",7929
"774",8918
"775",1294
"776",3545
"777",4747
"778",9033
"779",1316
"780",709
"781",8429
"782",7609
"783",7666
"784",1428
"785",8875
"786",6599
"787",4449
"788",678
"789",6494
"790",1799
"791",5914
"792",5907
"793",1252
"794",3293
"795",3731
"796",1917
"797",531
"798",6766
"799",3292
"800",4109
"801",456
"802",3154
"803",5789
"804",3158
"805",6300
"806",4279
"807",7456
"808",8322
"809",7237
"810",9856
"811",4446
"812",1088
"813",2819
"814",2436
"815",3959
"816",9159
"817",1667
"818",2121
"819",2996
"820",2950
"821",9175
"822",6941
"823",402
"824",955
"825",2154
"826",2365
"827",6262
"828",1351
"829",9715
"830",3444
"831",4118
"832",7610
"833",8378
"834",5954
"835",2669
"836",8126
"837",708
"838",931
"839",807
"840",7396
"841",1515
"842",7939
"843",9265
"844",2747
"845",8246
"846",6899
"847",2244
"848",395
"849",8010
"850",8292
"851",1728
"852",75
"853",5295
"854",5547
"855",9228
"856",2725
"857",7517
"858",4909
"859",3656
"860",1378
"861",1023
"862",1702
"863",6584
"864",9743
"865",3203
"866",2773
"867",4381
"868",1723
"869",6564
"870",5061
"871",7408
"872",302
"873",854
"874",3868
"875",5869
"876",3682
"877",9255
"878",9630
"879",9967
"880",7072
"881",8964
"882",2736
"883",7567
"884",5070
"885",8125
"886",1056
"887",4357
"888",3379
"889",7354
"890",9386
"891",8347
"892",2033
"893",2754
"894",7468
"895",4000
"896",1457
"897",2768
"898",2080
"899",4483
"900",4156
"901",6625
"902",3381
"903",2649
"904",5918
"905",6056
"906",1670
"907",2689
"908",4271
"909",8355
"910",4288
"911",1493
"912",1472
"913",9993
"914",6740
"915",2545
"916",3220
"917",4389
"918",3991
"919",6966
"920",7005
"921",1456
"922",3717
"923",7062
"924",625
"925",1820
"926",5066
"927",8255
"928",7003
"929",6780
"930",9837
"931",2311
"932",6074
"933",3209
"934",5710
"935",7968
"936",9999
"937",8394
"938",3102
"939",6513
"940",1962
"941",8842
"942",214
"943",7753
"944",6375
"945",5494
"946",8725
"947",6117
"948",6814
"949",1163
"950",7362
"951",3886
"952",6492
"953",5853
"954",7560
"955",4253
"956",1362
"957",2758
"958",2434
"959",4206
"960",9097
"961",2138
"962",3295
"963",7241
"964",751
"965",5536
"966",8018
"967",5626
"968",7109
"969",3297
"970",5015
"971",422
"972",529
"973",5046
"974",6457
"975",5632
"976",8983
"977",2742
"978",4133
"979",1243
"980",7204
"981",9553
"982",8178
"983",7063
"984",8069
"985",5748
"986",5110
"987",7312
"988",8813
"989",9190
"990",1800
"991",7765
"992",3988
"993",8945
"994",733
"995",7531
"996",5758
"997",9540
"998",8244
"999",6275
"1000",6321
"1001",1776
"1002",3507
"1003",7889
"1004",7635
"1005",9774
"1006",699
"1007",5530
"1008",5450
"1009",7874
"1010",6285
"1011",4152
"1012",23
"1013",8167
"1014",8656
"1015",1725
"1016",1822
"1017",9620
"1018",2794
"1019",973
"1020",8681
"1021",6008
"1022",4445
"1023",7314
"1024",3932
"1025",7279
"1026",3481
"1027",6442
"1028",9297
"1029",8674
"1030",4987
"1031",3187
"1032",2918
"1033",6188
"1034",8877
"1035",2520
"1036",3244
"1037",3838
"1038",4436
"1039",5650
"1040",7119
"1041",5033
"1042",5723
"1043",7499
"1044",754
"1045",914
"1046",7287
"1047",4416
"1048",1992
"1049",3714
"1050",6969
"1051",2498
"1052",6587
"1053",6725
"1054",8222
"1055",2400
"1056",1560
"1057",2574
"1058",2237
"1059",4379
"1060",4647
"1061",8026
"1062",711
"1063",8699
"1064",7249
"1065",5675
"1066",191
"1067",244
"1068",6293
"1069",1542
"1070",9130
"1071",5136
"1072",5417
"1073",228
"1074",9903
"1075",6735
"1076",9184
"1077",4120
"1078",4836
"1079",9025
"1080",8
"1081",4464
"1082",9593
"1083",4351
"1084",6367
"1085",5512
"1086",9868
"1087",5372
"1088",4125
"1089",9843
